BR,IF,D,0.01,0.03,800, 1/20/2023
BR,VVS1,D,0.01,0.03,800, 1/20/2023
BR,VVS2,D,0.01,0.03,800, 1/20/2023
BR,VS1,D,0.01,0.03,720, 1/20/2023
BR,VS2,D,0.01,0.03,720, 1/20/2023
BR,SI1,D,0.01,0.03,610, 1/20/2023
BR,SI2,D,0.01,0.03,540, 1/20/2023
BR,SI3,D,0.01,0.03,470, 1/20/2023
BR,I1,D,0.01,0.03,410, 1/20/2023
BR,I2,D,0.01,0.03,350, 1/20/2023
BR,I3,D,0.01,0.03,280, 1/20/2023
BR,IF,E,0.01,0.03,800, 1/20/2023
BR,VVS1,E,0.01,0.03,800, 1/20/2023
BR,VVS2,E,0.01,0.03,800, 1/20/2023
BR,VS1,E,0.01,0.03,720, 1/20/2023
BR,VS2,E,0.01,0.03,720, 1/20/2023
BR,SI1,E,0.01,0.03,610, 1/20/2023
BR,SI2,E,0.01,0.03,540, 1/20/2023
BR,SI3,E,0.01,0.03,470, 1/20/2023
BR,I1,E,0.01,0.03,410, 1/20/2023
BR,I2,E,0.01,0.03,350, 1/20/2023
BR,I3,E,0.01,0.03,280, 1/20/2023
BR,IF,F,0.01,0.03,800, 1/20/2023
BR,VVS1,F,0.01,0.03,800, 1/20/2023
BR,VVS2,F,0.01,0.03,800, 1/20/2023
BR,VS1,F,0.01,0.03,720, 1/20/2023
BR,VS2,F,0.01,0.03,720, 1/20/2023
BR,SI1,F,0.01,0.03,610, 1/20/2023
BR,SI2,F,0.01,0.03,540, 1/20/2023
BR,SI3,F,0.01,0.03,470, 1/20/2023
BR,I1,F,0.01,0.03,410, 1/20/2023
BR,I2,F,0.01,0.03,350, 1/20/2023
BR,I3,F,0.01,0.03,280, 1/20/2023
BR,IF,G,0.01,0.03,720, 1/20/2023
BR,VVS1,G,0.01,0.03,720, 1/20/2023
BR,VVS2,G,0.01,0.03,720, 1/20/2023
BR,VS1,G,0.01,0.03,640, 1/20/2023
BR,VS2,G,0.01,0.03,640, 1/20/2023
BR,SI1,G,0.01,0.03,550, 1/20/2023
BR,SI2,G,0.01,0.03,480, 1/20/2023
BR,SI3,G,0.01,0.03,420, 1/20/2023
BR,I1,G,0.01,0.03,370, 1/20/2023
BR,I2,G,0.01,0.03,310, 1/20/2023
BR,I3,G,0.01,0.03,260, 1/20/2023
BR,IF,H,0.01,0.03,720, 1/20/2023
BR,VVS1,H,0.01,0.03,720, 1/20/2023
BR,VVS2,H,0.01,0.03,720, 1/20/2023
BR,VS1,H,0.01,0.03,640, 1/20/2023
BR,VS2,H,0.01,0.03,640, 1/20/2023
BR,SI1,H,0.01,0.03,550, 1/20/2023
BR,SI2,H,0.01,0.03,480, 1/20/2023
BR,SI3,H,0.01,0.03,420, 1/20/2023
BR,I1,H,0.01,0.03,370, 1/20/2023
BR,I2,H,0.01,0.03,310, 1/20/2023
BR,I3,H,0.01,0.03,260, 1/20/2023
BR,IF,I,0.01,0.03,640, 1/20/2023
BR,VVS1,I,0.01,0.03,640, 1/20/2023
BR,VVS2,I,0.01,0.03,640, 1/20/2023
BR,VS1,I,0.01,0.03,570, 1/20/2023
BR,VS2,I,0.01,0.03,570, 1/20/2023
BR,SI1,I,0.01,0.03,500, 1/20/2023
BR,SI2,I,0.01,0.03,440, 1/20/2023
BR,SI3,I,0.01,0.03,380, 1/20/2023
BR,I1,I,0.01,0.03,330, 1/20/2023
BR,I2,I,0.01,0.03,280, 1/20/2023
BR,I3,I,0.01,0.03,240, 1/20/2023
BR,IF,J,0.01,0.03,640, 1/20/2023
BR,VVS1,J,0.01,0.03,640, 1/20/2023
BR,VVS2,J,0.01,0.03,640, 1/20/2023
BR,VS1,J,0.01,0.03,570, 1/20/2023
BR,VS2,J,0.01,0.03,570, 1/20/2023
BR,SI1,J,0.01,0.03,500, 1/20/2023
BR,SI2,J,0.01,0.03,440, 1/20/2023
BR,SI3,J,0.01,0.03,380, 1/20/2023
BR,I1,J,0.01,0.03,330, 1/20/2023
BR,I2,J,0.01,0.03,280, 1/20/2023
